    | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:22:00,324 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:22:00,433 | INFO     | client | Была вызвана функция process_ans с параметрами ({'message_text': 'test'},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:22:00,433 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:23:13,535 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:23:13,659 | INFO     | client | Была вызвана функция process_ans с параметрами ({'message_text': 'testtest'},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:23:13,659 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:24:29,928 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:26:24,526 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:26:24,651 | INFO     | client | Была вызвана функция process_ans с параметрами ({'message_text': 'еtest2'},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:26:24,651 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 17:00:52,887 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 17:01:15,975 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 17:01:15,990 | INFO     | client | Была вызвана функция process_ans с параметрами ({'message_text': 'test'},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 17:01:15,990 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 17:01:23,119 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 17:01:27,909 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 17:01:31,949 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
