2020-07-10 11:06:52,045 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 51', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:52,377 | INFO     | server | 200 : OK
2020-07-10 11:06:52,379 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 52', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 14:25:47,865 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'action', 'time': '10-07-2020 14:25 44', 'user': {'account_name': 'Guest', 'message_client': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 14:34:56,502 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'action', 'time': '10-07-2020 14:34 52', 'user': {'account_name': 'Guest', 'message_client': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:40:27,377 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:40 24', 'user': {'account_name': 'Guest', 'message_client': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:41:16,860 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:41 14', 'user': {'account_name': 'Guest', 'message_client': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:42:09,963 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:42 06', 'user': {'account_name': 'Guest', 'message_client': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:42:59,228 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:42 56', 'user': {'account_name': 'Guest', 'message_client': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:43:34,328 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:43 31', 'user': {'account_name': 'Guest', 'message_client': 'TEST'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:47:55,207 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:47 50', 'user': {'account_name': 'Guest', 'message_text': 'test test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:55:15,128 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:55 12', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:56:39,914 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:56 37', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:57:03,563 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:57 00', 'user': {'account_name': 'Guest', 'message_text': 'test'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:57:43,156 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 15:57 37', 'user': {'account_name': 'Guest', 'message_text': 'testetstetst'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:00:19,079 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': '10-07-2020 16:00 15', 'user': {'account_name': 'Guest', 'message_text': 'testetst'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
